date,power
02/01/2018 7:00,17.1
02/01/2018 7:10,16.5
02/01/2018 7:20,15.4
02/01/2018 7:30,15.3
02/01/2018 7:40,15.8
02/01/2018 7:50,15.5
02/01/2018 8:00,15.2
02/01/2018 8:10,15.5
02/01/2018 8:20,15.0
02/01/2018 8:30,13.3
02/01/2018 8:40,13.2
02/01/2018 8:50,13.9
02/01/2018 9:00,14.4
02/01/2018 9:10,14.0
02/01/2018 9:20,13.7
02/01/2018 9:30,13.1
02/01/2018 9:40,13.2
02/01/2018 9:50,13.1
02/01/2018 10:00,13.4
02/01/2018 10:10,13.1
02/01/2018 10:20,12.9
02/01/2018 10:30,13.0
02/01/2018 10:40,12.9
02/01/2018 10:50,13.4
02/01/2018 11:00,13.5
02/01/2018 11:10,13.1
02/01/2018 11:20,13.2
02/01/2018 11:30,13.8
02/01/2018 11:40,14.1
02/01/2018 11:50,14.1
02/01/2018 12:00,13.9
02/01/2018 12:10,13.9
02/01/2018 12:20,13.6
02/01/2018 12:30,13.4
02/01/2018 12:40,12.7
02/01/2018 12:50,12.9
02/01/2018 13:00,12.7
02/01/2018 13:10,12.9
02/01/2018 13:20,13.3
02/01/2018 13:30,13.8
02/01/2018 13:40,13.7
02/01/2018 13:50,13.9
02/01/2018 14:00,12.9
02/01/2018 14:10,13.0
02/01/2018 14:20,14.2
02/01/2018 14:30,14.0
02/01/2018 14:40,12.6
02/01/2018 14:50,12.7
02/01/2018 15:00,12.5
02/01/2018 15:10,12.6
02/01/2018 15:20,12.8
02/01/2018 15:30,12.6
02/01/2018 15:40,12.6
02/01/2018 15:50,12.9
02/01/2018 16:00,12.8
02/01/2018 16:10,12.6
02/01/2018 16:20,12.9
02/01/2018 16:30,12.8
02/01/2018 16:40,12.6
02/01/2018 16:50,12.8
02/01/2018 17:00,12.8
02/01/2018 17:10,12.8
02/01/2018 17:20,14.1
02/01/2018 17:30,14.1
02/01/2018 17:40,13.5
02/01/2018 17:50,15.1
02/01/2018 18:00,15.7
02/01/2018 18:10,15.5
02/01/2018 18:20,15.0
02/01/2018 18:30,14.8
02/01/2018 18:40,15.1
02/01/2018 18:50,15.9
02/01/2018 19:00,15.2
02/01/2018 19:10,15.3
02/01/2018 19:20,15.3
02/01/2018 19:30,15.0
02/01/2018 19:40,14.9
02/01/2018 19:50,15.2
02/01/2018 20:00,15.2
02/01/2018 20:10,15.0
02/01/2018 20:20,16.8
02/01/2018 20:30,16.6
02/01/2018 20:40,16.8
02/01/2018 20:50,16.6
02/01/2018 21:00,16.2
02/01/2018 21:10,15.7
02/01/2018 21:20,15.9
02/01/2018 21:30,15.9
02/01/2018 21:40,15.2
02/01/2018 21:50,14.8
02/01/2018 22:00,15.2
02/01/2018 22:10,13.8
02/01/2018 22:20,12.5
02/01/2018 22:30,12.1
02/01/2018 22:40,12.3
02/01/2018 22:50,12.4
02/01/2018 23:00,12.1
02/01/2018 23:10,12.1
02/01/2018 23:20,12.1
02/01/2018 23:30,11.9
02/01/2018 23:40,12.1
02/01/2018 23:50,12.7
03/01/2018 0:00,12.1
03/01/2018 0:10,12.0
03/01/2018 0:20,12.2
03/01/2018 0:30,12.0
03/01/2018 0:40,12.0
03/01/2018 0:50,12.2
03/01/2018 1:00,12.1
03/01/2018 1:10,12.2
03/01/2018 1:20,12.3
03/01/2018 1:30,12.0
03/01/2018 1:40,12.2
03/01/2018 1:50,12.0
03/01/2018 2:00,11.9
03/01/2018 2:10,12.1
03/01/2018 2:20,12.2
03/01/2018 2:30,11.8
03/01/2018 2:40,12.2
03/01/2018 2:50,12.2
03/01/2018 3:00,12.0
03/01/2018 3:10,11.9
03/01/2018 3:20,11.9
03/01/2018 3:30,12.2
03/01/2018 3:40,12.5
03/01/2018 3:50,12.2
03/01/2018 4:00,12.0
03/01/2018 4:10,12.1
03/01/2018 4:20,12.1
03/01/2018 4:30,12.0
03/01/2018 4:40,12.6
03/01/2018 4:50,12.9
03/01/2018 5:00,12.0
03/01/2018 5:10,12.1
03/01/2018 5:20,12.0
03/01/2018 5:30,11.9
03/01/2018 5:40,12.6
03/01/2018 5:50,14.1
03/01/2018 6:00,15.6
03/01/2018 6:10,15.8
03/01/2018 6:20,15.8
03/01/2018 6:30,15.4
03/01/2018 6:40,15.6
03/01/2018 6:50,15.6
03/01/2018 7:00,15.5
03/01/2018 7:10,16.4
03/01/2018 7:20,15.8
03/01/2018 7:30,16.3
03/01/2018 7:40,16.4
03/01/2018 7:50,15.8
03/01/2018 8:00,16.9
03/01/2018 8:10,16.7
03/01/2018 8:20,16.7
03/01/2018 8:30,15.5
03/01/2018 8:40,14.7
03/01/2018 8:50,13.5
03/01/2018 9:00,13.8
03/01/2018 9:10,13.5
03/01/2018 9:20,14.6
03/01/2018 9:30,15.9
03/01/2018 9:40,15.1
03/01/2018 9:50,14.7
03/01/2018 10:00,14.8
03/01/2018 10:10,14.9
03/01/2018 10:20,14.5
03/01/2018 10:30,13.7
03/01/2018 10:40,13.7
03/01/2018 10:50,13.5
03/01/2018 11:00,13.7
03/01/2018 11:10,13.6
03/01/2018 11:20,13.6
03/01/2018 11:30,13.5
03/01/2018 11:40,13.2
03/01/2018 11:50,13.3
03/01/2018 12:00,13.9
03/01/2018 12:10,13.5
03/01/2018 12:20,13.5
03/01/2018 12:30,13.6
03/01/2018 12:40,13.6
03/01/2018 12:50,13.2
03/01/2018 13:00,13.6
03/01/2018 13:10,14.0
03/01/2018 13:20,13.9
03/01/2018 13:30,13.4
03/01/2018 13:40,13.3
03/01/2018 13:50,13.3
03/01/2018 14:00,13.5
03/01/2018 14:10,13.5
03/01/2018 14:20,13.4
03/01/2018 14:30,13.7
03/01/2018 14:40,13.8
03/01/2018 14:50,13.2
03/01/2018 15:00,14.1
03/01/2018 15:10,14.1
03/01/2018 15:20,14.9
03/01/2018 15:30,14.2
03/01/2018 15:40,14.7
03/01/2018 15:50,15.4
03/01/2018 16:00,14.8
03/01/2018 16:10,13.9
03/01/2018 16:20,14.0
03/01/2018 16:30,13.5
03/01/2018 16:40,13.8
03/01/2018 16:50,13.6
03/01/2018 17:00,13.4
03/01/2018 17:10,13.4
03/01/2018 17:20,13.4
03/01/2018 17:30,13.1
03/01/2018 17:40,13.1
03/01/2018 17:50,14.6
03/01/2018 18:00,15.4
03/01/2018 18:10,15.2
03/01/2018 18:20,15.4
03/01/2018 18:30,15.8
03/01/2018 18:40,16.3
03/01/2018 18:50,16.6
03/01/2018 19:00,17.0
03/01/2018 19:10,17.0
03/01/2018 19:20,16.9
03/01/2018 19:30,16.9
03/01/2018 19:40,15.7
03/01/2018 19:50,15.4
03/01/2018 20:00,15.5
03/01/2018 20:10,16.3
03/01/2018 20:20,17.4
03/01/2018 20:30,17.9
03/01/2018 20:40,17.1
03/01/2018 20:50,16.2
03/01/2018 21:00,15.9
03/01/2018 21:10,15.6
03/01/2018 21:20,15.3
03/01/2018 21:30,15.1
03/01/2018 21:40,15.6
03/01/2018 21:50,15.7
03/01/2018 22:00,15.7
03/01/2018 22:10,13.8
03/01/2018 22:20,12.8
03/01/2018 22:30,12.6
03/01/2018 22:40,12.8
03/01/2018 22:50,12.7
03/01/2018 23:00,12.8
03/01/2018 23:10,12.7
03/01/2018 23:20,12.5
03/01/2018 23:30,12.4
03/01/2018 23:40,12.9
03/01/2018 23:50,12.6
04/01/2018 0:00,12.5
04/01/2018 0:10,12.7
04/01/2018 0:20,12.9
