13.3;10;0;3.4;12.6;9.4;0;3.2;14.5;10.7;0;3.8
13.2;9.8;0;3.4;12.3;9.1;0;3.2;14.5;10.7;0;3.8
13.2;9.9;0;3.3;12.5;9.1;0;3.1;14.3;10.6;0;3.8
13.2;9.9;0;3.4;12.6;9.3;0;3.1;14.6;10.9;0;3.8
13.1;9.7;0;3.5;12.6;9.1;0;3.2;14.4;10.6;0;3.8
13.1;9.8;0;3.4;12.4;9.2;0;3.2;14.6;10.9;0;3.8
13.1;9.8;0;3.3;12.2;9.2;0;3;14.5;10.9;0;3.8
13.3;9.8;0;3.4;12.5;9.2;0;3.2;14.7;11;0;3.8
13.6;10.1;0;3.5;12.8;9.3;0;3.3;15;11.2;0;4.3
14.3;10.1;0;4.2;12.8;9.4;0;3.3;15.5;11.2;0;4.5
13.6;9.9;0;3.7;12.6;9.2;0;3.1;14.8;10.5;0;4.4
13.3;9.8;0;3.4;12.6;9.2;0;3.2;14.4;10.8;0;3.8
13.3;9.8;0;3.5;12.7;9.3;0;3.3;14.4;10.6;0.1;3.8
13.1;9.8;0;3.4;12.4;9.1;0;3.2;14.2;10.6;0;3.7
13.1;9.9;0;3.2;12.5;9.3;0;3;14.2;10.7;0;3.6
13.7;10.2;0;3.4;12.8;9.5;0;3.3;14.6;11;0;3.9
13.6;10.1;0;3.5;12.6;9.3;0;3.3;14.6;11;0;3.8
13.2;9.7;0;3.5;12.6;9.3;0;3.3;14.5;10.6;0;3.9
13.1;9.7;0;3.4;12.6;9.4;0;3.2;14.3;10.7;0;3.8
13.5;10;0;3.5;12.7;9.2;0;3.2;14.5;10.6;0;3.8
13.2;9.8;0;3.4;12.6;9.2;0;3.2;14;10.5;0;3.8
13.2;9.7;0;3.4;12.7;9.4;0;3.2;14.3;10.6;0;3.8
13.5;10.2;0;3.3;12.6;9.4;0;3.1;14.6;10.9;0;3.7
13.1;9.6;0;3.4;12.6;9.2;0;3.3;13.8;10.4;0;3.8
13.1;9.7;0;3.4;12.4;9.1;0;3.1;14.1;10.7;0;3.8
13.2;9.9;0;3.3;12.3;9.2;0;3.1;14.2;10.7;0;3.8
13.1;9.8;0;3.3;12.5;9.2;0;3.1;14.1;10.5;0;3.7
13.1;9.7;0;3.4;12.5;9.1;0;3.1;14.2;10.6;0;3.8
13.4;10;0;3.4;12.8;9.4;0;3;14.4;10.7;0;3.8
